gene_id,expected_SYN,observed_SYN,observed/expected_SYN,gene_SYN,gene_length,obs_syn,exp_syn,oe_syn,mu_syn,oe_lof,oe_syn_lower,oe_syn_upper,oe_lof_lower,oe_lof_upper,expected/gene_length,lower_oe_bound,LOEUF_SYN,posterior_distribution_mean_SYN
ENSG00000186827,23.3705857249504,27.0,1.1552983873731006,TNFRSF4,2813,73,74.795,0.97601,5.4853e-06,0.70548,0.807,1.186,0.4,1.322,0.008308064601830928,0.8514851485148515,1.5901590159015901,1.1969738526954627
ENSG00000078808,101.75414448680569,98.0,0.9631057338672581,SDF4,15124,121,114.74,1.0546,9.626799999999999e-06,0.3872,0.909,1.226,0.211,0.764,0.006727991568818149,0.817881788178818,1.139113911391139,0.9729333433965155
ENSG00000184163,23.012316761122978,19.0,0.8256448143499664,FAM132A,4277,77,79.539,0.9680700000000001,5.9199e-06,1.0096,0.804,1.17,0.634,1.64,0.005380480888735791,0.5760576057605761,1.2115211521152116,0.8690931373625126
ENSG00000160087,80.02779075119128,73.0,0.9121831218227567,UBE2J2,19977,77,74.741,1.0302,5.6589999999999995e-06,0.082362,0.856,1.245,0.028,0.391,0.004005996433458041,0.7552755275527553,1.1083108310831082,0.9246787810257971
ENSG00000162572,84.96887791037311,98.0,1.1533634715451035,SCNN1D,11594,299,223.15,1.3399,1.5903e-05,1.2373,1.218,1.475,0.973,1.586,0.00732869397191419,0.9794979497949795,1.3641364136413643,1.165132485329188
ENSG00000131584,100.56245310838949,122.0,1.2131764513391934,ACAP3,17234,254,227.16,1.1182,1.7677e-05,0.39045,1.009,1.241,0.266,0.586,0.005835119711523122,1.0475047504750474,1.40994099409941,1.2231205196570536
ENSG00000169972,33.738798679291236,49.0,1.4523338683684681,PUSL1,3111,113,73.562,1.5361,4.5632e-06,2.0302,1.318,1.793,1.332,1.977,0.010845001182671564,1.153915391539154,1.8193819381938194,1.474971871784599
ENSG00000127054,133.00780450080188,143.0,1.0751248811052878,CPSF3L,13107,228,162.94,1.3993,1.1888e-05,0.7165699999999999,1.255,1.562,0.524,0.994,0.010147845006546264,0.9386938693869388,1.2351235123512352,1.0826432369172128
ENSG00000224051,57.112494284886886,55.0,0.9630116962787616,GLTPD1,4142,88,76.737,1.1468,6.0223e-06,0.56516,0.964,1.369,0.256,1.427,0.013788627302000697,0.7754775477547755,1.2055205520552055,0.980520999264473
ENSG00000169962,210.5401718994855,234.0,1.111426849749674,TAS1R3,3993,387,276.14,1.4015,2.1574e-05,1.1752,1.289,1.524,0.893,1.563,0.05272731577748197,0.9990999099909992,1.2385238523852387,1.1161765371417667
ENSG00000107404,119.40383480001047,158.0,1.3232405832244354,DVL1,14075,294,203.72,1.4431,1.5551e-05,0.46871999999999997,1.311,1.589,0.309,0.733,0.008483398564832005,1.1627162716271628,1.50995099509951,1.331615512401044
ENSG00000162576,61.19792966121977,56.0,0.9150636354857995,MXRA8,9089,143,121.78,1.1743,8.950900000000001e-06,0.71077,1.024,1.349,0.462,1.13,0.006733186231842861,0.7382738273827383,1.143114311431143,0.9314040575319456
ENSG00000175756,45.15959652775983,42.0,0.9300348813830165,AURKAIP1,1766,71,56.78,1.2504,3.7619999999999997e-06,0.99115,1.032,1.523,0.536,1.77,0.025571685463057662,0.7264726472647265,1.202920292029203,0.9521785572871366
ENSG00000221978,127.90354929176485,124.0,0.9694805240872532,CCNL2,13618,152,134.31,1.1317,7.986e-06,0.24999000000000002,0.991,1.295,0.141,0.47,0.009392241833732181,0.8380838083808381,1.1253125312531254,0.9772989154105373
ENSG00000242485,34.029438240501065,42.0,1.2342254874490568,MRPL20,5406,51,34.12,1.4947,1.8251e-06,1.123,1.191,1.852,0.651,1.817,0.006294753651591022,0.9640964096409641,1.5953595359535955,1.2632346042743816
ENSG00000179403,74.08003324094332,62.0,0.8369326698105907,VWA1,8022,100,104.15,0.9601200000000001,8.004e-06,0.5071899999999999,0.816,1.134,0.264,1.066,0.009234608980421756,0.6822682268226823,1.033903390339034,0.8504315838397928
ENSG00000215915,57.040053473885095,75.0,1.3148655275075714,ATAD3C,20470,135,115.79,1.1659,8.388e-06,0.76263,1.013,1.345,0.509,1.174,0.0027865194662376695,1.0913091309130913,1.593159315931593,1.3323521932022238
ENSG00000160072,80.93438301352532,91.0,1.1243676248794356,ATAD3B,26086,233,174.84,1.3327,1.2790999999999998e-05,1.0995,1.197,1.485,0.829,1.477,0.0031025984441280887,0.9490949094909491,1.3383338333833383,1.1367233122638716
ENSG00000197785,42.4703520354327,51.0,1.2008377033807274,ATAD3A,22537,188,171.46,1.0965,1.2577e-05,0.5635,0.973,1.237,0.392,0.827,0.0018844722915841814,0.9590959095909591,1.5163516351635165,1.2243432393095732
ENSG00000160075,31.574937736656636,36.0,1.1401447660878878,SSU72,33197,52,48.031000000000006,1.0826,3.075e-06,0.10707,0.866,1.364,0.037,0.508,0.0009511382876963773,0.873887388738874,1.5053505350535055,1.1716843071923086
ENSG00000197530,129.7306564558188,140.0,1.0791589576799725,MIB2,15196,395,318.71,1.2394,2.5095999999999998e-05,0.42233999999999994,1.141,1.347,0.294,0.62,0.008537158229522165,0.9408940894089409,1.2417241724172419,1.0868672359491147
ENSG00000248333,12.457214014362735,16.0,1.2843963330446564,CDK11B,19871,186,130.92,1.4207,8.995700000000001e-06,0.41841999999999996,1.26,1.604,0.267,0.678,0.000626904233021123,0.8648864886488649,1.8331833183318333,1.3315150181700144
ENSG00000008128,12.479772870644576,12.0,0.9615559613450084,CDK11A,21598,163,119.6,1.3629,7.909400000000001e-06,0.93647,1.199,1.552,0.689,1.291,0.000577820764452476,0.6158615861586159,1.5471547154715473,1.0381466467960028
ENSG00000008130,120.75378551014931,116.0,0.9606324100725624,NADK,29226,167,169.08,0.9877100000000001,1.2739000000000001e-05,0.68389,0.87,1.123,0.48,0.994,0.0041317246804266515,0.8264826482648265,1.1207120712071208,0.9689137239524983
ENSG00000078369,91.74111487188694,90.0,0.9810214332546717,GNB1,105767,86,89.958,0.956,6.2262e-06,0.0,0.802,1.144,0.0,0.145,0.0008673888346259886,0.8272827282728273,1.168916891689169,0.9919216714019314
ENSG00000169885,28.564613222172333,31.0,1.0852588746392435,CALML6,2470,43,42.77,1.0054,3.1189999999999997e-06,1.1138,0.787,1.296,0.697,1.757,0.011564620737721593,0.8156815681568157,1.4643464346434645,1.1201582790126294
ENSG00000178821,45.449802991646656,55.0,1.2101262575353429,TMEM52,1684,52,44.773999999999994,1.1614,2.6791000000000003e-06,0.6706,0.929,1.463,0.302,1.614,0.02698919417556215,0.9742974297429743,1.5147514751475148,1.2321009906346085
ENSG00000142609,215.9179051623063,217.0,1.0050116030760872,C1orf222,81881,212,239.69,0.8844799999999999,1.7161e-05,0.56005,0.79,0.991,0.402,0.793,0.002636972010140403,0.8998899889988999,1.1247124712471248,1.0096429929520137
ENSG00000187730,105.7945488878456,130.0,1.2287967704065261,GABRD,11413,172,138.61,1.2409,1.1510999999999999e-05,0.051580999999999995,1.095,1.408,0.017,0.245,0.009269652929803347,1.065906590659066,1.4213421342134214,1.2382490524415999
ENSG00000067606,153.81368542312583,149.0,0.9687044399860528,PRKCZ,134926,160,164.77,0.9710700000000001,1.3294e-05,0.21305,0.853,1.107,0.12,0.4,0.001139985513712152,0.8480848084808481,1.1097109710971098,0.975205812066496
ENSG00000162585,15.206432032201947,16.0,1.0521863357635475,C1orf86,28257,59,51.955,1.1356,3.6488e-06,0.15828,0.92,1.411,0.055,0.751,0.0005381474336342126,0.7120712071207121,1.5883588358835885,1.1147691587722617
ENSG00000157933,104.68413927929649,137.0,1.3086987287967764,SKI,81425,300,210.14,1.4276,1.4727e-05,0.040872000000000006,1.298,1.571,0.014,0.194,0.001285651081108953,1.1393139313931393,1.5081508150815082,1.318251230941903
ENSG00000116151,82.75700125378324,77.0,0.9304348735869636,MORN1,70455,129,128.49,1.004,9.718200000000001e-06,0.76779,0.869,1.162,0.539,1.116,0.0011746079235509651,0.774077407740774,1.1247124712471248,0.9425184433737946
ENSG00000157916,55.18511172244532,58.0,1.0510081105156082,RER1,13617,60,49.893,1.2026,3.6153e-06,0.22280999999999998,0.976,1.491,0.1,0.576,0.004052662974402976,0.8508850885088509,1.307930793079308,1.0691289097398806
ENSG00000157911,72.97060475347281,68.0,0.9318820945740312,PEX10,9001,96,96.14399999999999,0.9985,6.2417e-06,0.47658,0.846,1.183,0.279,0.86,0.008106944201030197,0.7664766476647665,1.1403140314031404,0.9455862430231622
ENSG00000149527,224.64407635172796,242.0,1.0772596541610902,PLCH2,79551,331,298.13,1.1103,2.1773000000000003e-05,0.72075,1.014,1.216,0.549,0.956,0.0028239000936723354,0.9700970097009701,1.1983198319831985,1.08171114033531
ENSG00000157881,193.63485548984957,207.0,1.0690224106416164,PANK4,18068,280,238.11,1.176,1.8808e-05,0.15425999999999998,1.066,1.298,0.083,0.304,0.010717005506411866,0.9546954695469547,1.1995199519951996,1.0741867701133148
ENSG00000197921,4.8537872604724175,3.0,0.6180740603180064,HES5,1501,19,16.192,1.1734,7.4381e-07,0.29515,0.817,1.698,0.103,1.344,0.0032337023720669005,0.28022802280228026,1.5295529552955296,0.80531727756887
ENSG00000157873,53.71818831215891,52.0,0.9680147755137527,TNFRSF14,9744,90,76.319,1.1793,5.7601999999999995e-06,0.14078,0.993,1.405,0.057,0.443,0.005512950360443238,0.7748774877487749,1.2195219521952196,0.9866304420139697
ENSG00000157870,27.742386387095337,29.0,1.0453318469203376,FAM213B,4979,50,51.089,0.9786799999999999,2.9799e-06,0.85006,0.779,1.239,0.497,1.517,0.005571879169932785,0.7782778277827783,1.4251425142514251,1.081308863391649
ENSG00000142606,155.6027485943285,158.0,1.015406227893322,MMEL1,42404,203,204.76,0.9914200000000001,1.4353e-05,0.7682399999999999,0.883,1.114,0.597,0.997,0.0036695299640205755,0.8922892289228923,1.1587158715871588,1.0218328495888493
ENSG00000169717,127.32224537467425,125.0,0.9817608826498423,ACTRT2,1420,135,119.37,1.1309,9.439900000000001e-06,0.7015600000000001,0.983,1.305,0.383,1.377,0.08966355308075652,0.8492849284928493,1.138913891389139,0.9896149697110409
ENSG00000142611,325.22818846823935,338.0,1.039270309230923,PRDM16,369454,447,404.93,1.1039,3.3525e-05,0.081747,1.021,1.194,0.039,0.187,0.0008802941326071428,0.9510951095109511,1.1371137113711371,1.042345073459417
ENSG00000130762,119.44700096830604,123.0,1.0297454017504943,ARHGEF16,26688,195,189.1,1.0312,1.3589000000000002e-05,0.72402,0.917,1.161,0.523,1.018,0.0044756819907189015,0.8896889688968898,1.196119611961196,1.0381173155858643
ENSG00000162591,169.02199117703555,180.0,1.0649501804263208,MEGF6,121576,479,422.78,1.133,3.3739000000000003e-05,0.73856,1.05,1.222,0.604,0.908,0.0013902578730755704,0.9432943294329433,1.2051205120512052,1.0708665703175781
ENSG00000158109,43.121511206214244,55.0,1.2754655034463158,TPRG1L,5126,62,49.684,1.2479,2.9473e-06,0.88071,1.016,1.542,0.542,1.486,0.008412311979362904,1.026902690269027,1.5963596359635963,1.2984948194616497
ENSG00000116213,120.72607670917614,126.0,1.0436850383494902,WRAP73,21995,145,133.9,1.0829,1.0192e-05,0.5100899999999999,0.945,1.243,0.336,0.797,0.005488796395052336,0.9032903290329033,1.2101210121012103,1.051968252939565
ENSG00000078900,141.91832445206705,156.0,1.0992238007480777,TP73,83682,206,185.66,1.1096,1.3532999999999999e-05,0.09911299999999999,0.99,1.245,0.044,0.256,0.0016959241467946159,0.9650965096509652,1.2553255325532553,1.1062701071631293
ENSG00000162592,142.35520768550032,145.0,1.018578823757138,CCDC27,19248,174,161.27,1.0789,1.0612000000000001e-05,1.1008,0.953,1.223,0.854,1.433,0.00739584412331153,0.8900890089008902,1.169116911691169,1.0256035053002903
ENSG00000130764,76.25761890121952,79.0,1.0359620604248454,LRRC47,16285,152,141.23,1.0763,8.934700000000001e-06,0.12930999999999998,0.942,1.231,0.052,0.407,0.00468269075230086,0.8638863886388639,1.2491249124912491,1.049075504188514
ENSG00000116198,168.6459889926539,152.0,0.9012962650811754,CEP104,45134,171,200.82,0.85152,1.2625999999999999e-05,0.54175,0.751,0.967,0.4,0.743,0.0037365619930131147,0.7900790079007901,1.031103110311031,0.907225845772499
ENSG00000169598,69.7832461123338,64.0,0.9171255790677292,DFFB,28149,80,85.257,0.93834,5.3876e-06,0.63655,0.782,1.13,0.392,1.08,0.0024790666138169667,0.7498749874987499,1.1293129312931294,0.931455666239956
ENSG00000198912,57.7312421872326,56.0,0.9700120399000272,C1orf174,11169,60,58.552,1.0247,3.9832e-06,0.75226,0.832,1.27,0.427,1.405,0.0051688819220371204,0.7824782478247825,1.211921192119212,0.9873336828389145
ENSG00000196581,52.35953384145386,49.0,0.9358372087187288,AJAP1,137803,106,108.15,0.98009,7.9346e-06,0.0,0.836,1.152,0.0,0.192,0.0003799593175870907,0.7442744274427443,1.1873187318731873,0.9549359262214862
ENSG00000131697,270.4335899622346,282.0,1.042769872039123,NPHP4,129663,437,397.3,1.0999,2.8983e-05,0.78155,1.016,1.191,0.626,0.983,0.0020856650699292364,0.9462946294629463,1.150915091509151,1.0464676375428075
ENSG00000069424,26.280465013947445,30.0,1.1415323124639742,KCNAB2,109728,106,111.88,0.94745,7.893300000000001e-06,0.18315,0.809,1.113,0.095,0.385,0.00023950555021459832,0.8540854085408541,1.5471547154715473,1.1791155507281907
ENSG00000116254,411.74399334498634,398.0,0.9666200513738382,CHD5,78331,518,516.53,1.0029,3.7145e-05,0.089818,0.932,1.078,0.053,0.157,0.005256462873510951,0.8906890689068907,1.05010501050105,0.9690487449702546
ENSG00000116251,18.136981643433902,16.0,0.8821754531461662,RPL22,28121,27,27.869,0.9688100000000001,1.8856e-06,0.3299,0.713,1.336,0.134,1.036,0.0006449621863886029,0.5972597259725972,1.3395339533953396,0.9371600674815246
ENSG00000158286,84.8443316376457,83.0,0.9782621702352198,RNF207,15825,156,171.04,0.91207,1.1605e-05,0.67282,0.8,1.042,0.483,0.953,0.005361411161936537,0.8192819281928193,1.1741174117411741,0.990048461442756
ENSG00000116237,53.8554595328371,47.0,0.8727063218417597,ICMT,14780,50,56.272,0.88855,3.3812e-06,0.1431,0.707,1.125,0.058,0.45,0.003643806463656096,0.6906690669066907,1.112911291129113,0.8912745414132431
ENSG00000173673,8.8168011008049,10.0,1.1341982069990308,HES3,1387,46,37.796,1.2171,1.8238999999999998e-06,0.26882,0.96,1.556,0.094,1.246,0.0063567419616473685,0.6950695069506951,1.791979197919792,1.2111073855170593
ENSG00000158292,56.35378776573787,66.0,1.171172384620557,GPR153,13630,121,122.88,0.9847100000000001,8.645e-06,0.7811600000000001,0.849,1.145,0.491,1.292,0.0041345405550798145,0.9604960496049605,1.4375437543754377,1.1889163121117197
ENSG00000097021,104.28517511065962,120.0,1.1506908807763423,ACOT7,130123,131,113.73,1.1519,8.4382e-06,0.16806,0.999,1.332,0.076,0.434,0.0008014353735362667,0.9924992499249925,1.3391339133913391,1.1602799714335164
ENSG00000069812,9.57437412515196,8.0,0.8355637554400484,HES2,12253,24,31.089000000000002,0.77198,1.4806e-06,0.83641,0.558,1.086,0.406,1.723,0.0007813902003714977,0.4900490049004901,1.4941494149414942,0.9356665792096126
ENSG00000187017,85.36784793520071,77.0,0.9019789283952383,ESPN,36583,183,197.38,0.92715,1.315e-05,0.62985,0.821,1.048,0.434,0.934,0.002333538745734377,0.7504750475047505,1.0903090309030903,0.9136929404523184
ENSG00000215788,60.566062543766755,64.0,1.0566973864901947,TNFRSF25,5045,107,121.21,0.8827799999999999,8.8566e-06,0.33129000000000003,0.754,1.037,0.193,0.598,0.012005166014621755,0.8640864086408642,1.301130113011301,1.0732082748751108
ENSG00000171680,164.26059612360942,151.0,0.9192709850289928,PLEKHG5,53970,288,284.13,1.0136,1.9535e-05,0.3812,0.92,1.118,0.262,0.565,0.003043553754374827,0.8054805480548055,1.0521052105210522,0.9253588723470656
ENSG00000162408,112.78636957063182,115.0,1.0196267548800027,NOL9,33189,155,144.1,1.0757,7.8238e-06,0.31436,0.943,1.229,0.189,0.549,0.003398305751020875,0.8766876687668768,1.1905190519051905,1.0284930744876546
ENSG00000173662,183.57139609100398,165.0,0.8988328438609392,TAS1R1,24577,212,222.02,0.95488,1.4064000000000001e-05,0.82875,0.853,1.07,0.595,1.174,0.007469235305000772,0.7920792079207921,1.0227022702270228,0.9042803156419145
ENSG00000204859,142.4680359461943,139.0,0.9756574453830186,ZBTB48,9280,200,172.68,1.1582,1.061e-05,0.39718000000000003,1.031,1.302,0.254,0.644,0.01535215904592611,0.8500850085008501,1.1231123112311232,0.9826765636951266
ENSG00000162413,81.5505994289451,95.0,1.1649209284203157,KLHL21,23884,218,160.47,1.3586,1.0645e-05,0.6957899999999999,1.216,1.52,0.445,1.127,0.003414444792704116,0.9866986698669867,1.3815381538153815,1.1771832496679269
ENSG00000116273,86.51119069320168,91.0,1.05188703647274,PHF13,10349,103,81.462,1.2644,5.6024e-06,0.0,1.077,1.489,0.0,0.249,0.008359376818359424,0.8878887888788879,1.252125212521252,1.063446234670806
ENSG00000041988,35.38631131805598,30.0,0.8477854538258245,THAP3,10721,64,60.683,1.0547,3.9826e-06,0.59925,0.861,1.299,0.294,1.358,0.0033006539798578474,0.6342634263426343,1.14991499149915,0.8760449256715725
ENSG00000007923,132.46838305477127,126.0,0.9511703630284609,DNAJC11,67757,139,133.43,1.0417,8.520700000000001e-06,0.10677,0.907,1.199,0.052,0.244,0.0019550508885395053,0.8232823282328233,1.1027102710271028,0.9587193341636073
ENSG00000171735,417.48772800504963,384.0,0.9197875152760309,CAMTA1,984383,417,435.89,0.9566600000000001,3.2644e-05,0.09134400000000001,0.882,1.037,0.051,0.172,0.00042411107059452433,0.8462846284628464,1.000900090009001,0.9221827952637288
ENSG00000049245,24.164528530685686,34.0,1.4070210373367968,VAMP3,10164,32,22.121,1.4466,1.5432e-06,0.60522,1.087,1.865,0.315,1.269,0.0023774624685837945,1.0687068706870688,1.8285828582858286,1.4354323986877693
ENSG00000049246,240.05524542151272,248.0,1.0330955258425496,PER3,60858,314,286.88,1.0945,1.9305999999999998e-05,0.63671,0.997,1.202,0.487,0.841,0.003944514203909309,0.9314931493149315,1.1477147714771478,1.0372612336080438
ENSG00000049247,21.62013299927312,16.0,0.7400509516078336,UTS2,10430,22,28.383000000000003,0.7751100000000001,1.7411000000000002e-06,0.4957,0.553,1.107,0.225,1.271,0.0020728794821930126,0.5010501050105011,1.123912391239124,0.7863017644583917
ENSG00000049249,52.394126934780274,51.0,0.9733915418322425,TNFRSF9,21020,56,55.928000000000004,1.0013,3.4600999999999997e-06,0.23448000000000002,0.807,1.251,0.106,0.606,0.0024925845354319826,0.7774777477747775,1.229122912291229,0.9924776461682862
ENSG00000116288,43.20908953237131,41.0,0.9488744253517236,PARK7,31215,37,39.744,0.93095,2.3405000000000003e-06,0.11152999999999999,0.715,1.225,0.039,0.529,0.0013842412151969024,0.7390739073907391,1.2311231123112312,0.9720176598101802
ENSG00000116285,92.41500938568447,93.0,1.0063300390077778,ERRFI1,21905,97,95.21700000000001,1.0187,5.5712e-06,0.4192,0.863,1.206,0.218,0.881,0.004218900223039693,0.8508850885088509,1.1957195719571958,1.0171507921153289
ENSG00000162426,228.8285177566606,212.0,0.9264579523494695,SLC45A1,26342,249,242.63,1.0263,2.0225e-05,0.45953,0.925,1.14,0.293,0.745,0.008686831590488976,0.8284828482848285,1.038103810381038,0.9308280370303632
ENSG00000142599,236.1571744130942,240.0,1.0162723220095096,RERE,465246,453,382.67,1.1838,2.686e-05,0.046333,1.095,1.279,0.02,0.12,0.0005075963563643625,0.9148914891489149,1.130913091309131,1.0205067900178828
ENSG00000074800,107.39399969453501,99.0,0.9218392115163753,ENO1,18248,109,106.02,1.0281,6.8986e-06,0.52198,0.879,1.205,0.328,0.864,0.005885247681638262,0.7834783478347835,1.0895089508950895,0.9311507187034093
ENSG00000131686,69.95625882203939,64.0,0.9148573848525631,CA6,29226,67,75.851,0.88331,4.8798e-06,0.5083300000000001,0.724,1.082,0.297,0.917,0.002393630973175918,0.7480748074807481,1.1265126512651265,0.929152031490299
ENSG00000197241,117.23036951966306,131.0,1.1174578783361027,SLC2A7,23046,165,151.02,1.0926,1.1031e-05,1.2234,0.962,1.243,0.905,1.669,0.005086798989831774,0.9696969696969697,1.291929192919292,1.125988091147723
ENSG00000142583,110.57546671005422,99.0,0.8953161396966394,SLC2A5,53372,118,141.03,0.83673,1.0678e-05,0.79382,0.72,0.975,0.542,1.191,0.0020717879545464704,0.7608760876087609,1.0581058105810581,0.9043597370673124
ENSG00000180758,64.83992036719933,56.0,0.8636654653932735,GPR157,28866,86,98.55799999999999,0.8725799999999999,6.2295e-06,0.60123,0.732,1.044,0.328,1.186,0.0022462384939790523,0.6966696669666967,1.078907890789079,0.8790880629893006
ENSG00000049239,228.96885761080478,236.0,1.0307078546076627,H6PD,36563,247,214.53,1.1514,1.5637e-05,0.6271399999999999,1.037,1.279,0.428,0.941,0.006262310467160921,0.9270927092709271,1.1481148114811481,1.0350752607712548
ENSG00000171621,82.18384655075755,81.0,0.9855951430792863,SPSB1,76653,84,84.619,0.9926799999999999,6.0584e-06,0.18868,0.831,1.19,0.076,0.594,0.0010721543390442324,0.8236823682368237,1.1857185718571857,0.9977629843514404
ENSG00000171612,30.270159709899136,33.0,1.0901825532558433,SLC25A33,45697,70,64.241,1.0897,3.5872e-06,0.41778000000000004,0.898,1.329,0.228,0.825,0.0006624102175175424,0.8262826282628263,1.4575457545754575,1.1231430611226247
ENSG00000188807,117.21315314768052,112.0,0.9555241625390599,TMEM201,26004,197,202.71,0.97185,1.478e-05,0.1108,0.864,1.094,0.049,0.286,0.004507504735720678,0.8198819881988199,1.1179117911791179,0.9640556282760158
ENSG00000171608,292.5250144573887,297.0,1.0152977876128373,PIK3CD,77383,308,283.16,1.0877,2.16e-05,0.093265,0.99,1.195,0.048,0.196,0.0037802232332345437,0.9236923692369238,1.1177117711771178,1.0187162986822407
ENSG00000171603,282.67800396155076,276.0,0.9763759335075145,CLSTN1,95501,280,263.33,1.0633,2.0559e-05,0.17051,0.964,1.174,0.099,0.308,0.0029599481048528365,0.8850885088508851,1.0787078707870787,0.9799135274694982
ENSG00000178585,14.955950121580724,15.0,1.0029453079250188,CTNNBIP1,62061,27,20.839000000000002,1.2957,1.5312e-06,0.5444399999999999,0.953,1.76,0.247,1.383,0.00024098790096164618,0.6708670867086709,1.537953795379538,1.0676595026608011
ENSG00000162441,29.42626105418818,28.0,0.951531013350227,LZIC,21293,29,31.145,0.93111,1.3402e-06,0.57804,0.692,1.27,0.315,1.14,0.0013819687716239224,0.7050705070507051,1.3045304530453046,0.9855078022292049
ENSG00000173614,53.849679382596356,49.0,0.9099404223349244,NMNAT1,42074,50,56.09,0.8914200000000001,2.8205e-06,0.38315,0.709,1.128,0.188,0.877,0.0012798801963824775,0.7236723672367237,1.1545154515451546,0.9285106348262854
ENSG00000162444,23.483784101640282,22.0,0.9368166520685802,RBP7,18815,25,26.451999999999998,0.9451,1.2893e-06,0.15432,0.688,1.32,0.054,0.732,0.0012481415945596749,0.6694669466946694,1.3375337533753375,0.9793564155395842
ENSG00000130939,281.6531587639276,266.0,0.9444239900144434,UBE4B,148408,284,298.89,0.9501700000000001,1.8758e-05,0.074661,0.862,1.048,0.038,0.157,0.0018978300277877715,0.8546854685468547,1.0453045304530453,0.9479744561423169
ENSG00000054523,365.5234618492981,356.0,0.9739456892832107,KIF1B,170799,348,352.02,0.9885700000000001,2.1051e-05,0.10332000000000001,0.905,1.08,0.064,0.171,0.0021400796365862685,0.8932893289328934,1.0633063306330632,0.9766814917811973
ENSG00000142657,105.56892195746542,117.0,1.1082807120749065,PGD,21553,129,116.37,1.1085,7.0345e-06,0.11300999999999999,0.96,1.283,0.05,0.292,0.004898108010832155,0.9540954095409542,1.2921292129212922,1.1177531967925438
ENSG00000175279,14.488778077977457,11.0,0.7592082604067003,APITD1,22052,30,33.774,0.88825,1.8768e-06,0.9907100000000001,0.664,1.205,0.578,1.706,0.000657027846815593,0.4778477847784779,1.2563256325632564,0.8280696332808232
ENSG00000241563,15.472332778964818,15.0,0.9694724263165428,CORT,2184,27,28.064,0.9620799999999999,1.7375e-06,2.0858,0.708,1.327,0.529,1.941,0.007084401455569971,0.6484648464846485,1.4893489348934894,1.0328321594751986
ENSG00000160049,75.71243720164772,66.0,0.8717193956419574,DFFA,16005,71,81.729,0.8687299999999999,4.4289999999999994e-06,0.6433300000000001,0.716,1.058,0.377,1.161,0.0047305490285315666,0.7148714871487148,1.06990699069907,0.8849272652728911
ENSG00000142655,95.55596157308892,96.0,1.0046468940252506,PEX14,158471,112,100.43,1.1152,8.0652e-06,0.24628000000000003,0.956,1.305,0.128,0.518,0.0006029870548749545,0.8516851685168517,1.1903190319031904,1.0151119658379932
ENSG00000130940,403.08712743765113,388.0,0.962571051242551,CASZ1,160047,508,522.51,0.97224,4.3827e-05,0.066338,0.903,1.046,0.032,0.152,0.0025185547210360153,0.8860886088608861,1.0469046904690469,0.9650519044674033
