gene_id,expected_MIS,observed_MIS,observed/expected_MIS,gene_MIS,gene_length_MIS,obs_mis,exp_mis,oe_mis,mu_mis,oe_lof,oe_mis_lower,oe_mis_upper,oe_lof_lower,oe_lof_upper,expected/gene_length,lower_oe_bound,LOEUF_MIS,posterior_distribution_mean_MIS
ENSG00000186827,39.64248732970283,34.0,0.8576656584947661,TNFRSF4,2813,142,164.48,0.86334,1.1005e-05,0.70548,0.752,0.992,0.4,1.322,0.014092601254782379,0.6526652665266527,1.141914191419142,0.8828911097197875
ENSG00000078808,173.93096130583604,158.0,0.9084064091509078,SDF4,15124,227,251.67,0.90199,1.7065e-05,0.3872,0.809,1.007,0.211,0.764,0.011500328041909286,0.7982798279827983,1.0365036503650364,0.9141558168037617
ENSG00000184163,35.33948240918927,37.0,1.0469876035982617,FAM132A,4277,177,167.99,1.0537,1.1982e-05,1.0096,0.931,1.194,0.634,1.64,0.008262680011500882,0.8052805280528053,1.3773377337733774,1.0752768062650582
ENSG00000160087,135.8402679078215,73.0,0.5373958777049552,UBE2J2,19977,100,164.72,0.60711,1.0334000000000001e-05,0.082362,0.515,0.717,0.028,0.391,0.006799833203575186,0.4448444844484449,0.6528652865286528,0.5447574650707766
ENSG00000162572,137.7403492283175,139.0,1.0091451109187657,SCNN1D,11594,526,477.95,1.1005,3.1132e-05,1.2373,1.024,1.183,0.973,1.586,0.011880313026420349,0.8792879287928793,1.1617161716171618,1.0164051476879652
ENSG00000131584,186.97267901874596,167.0,0.8931786230824478,ACAP3,17234,410,516.93,0.79314,3.653e-05,0.39045,0.731,0.861,0.266,0.586,0.01084905878024521,0.7876787678767877,1.0155015501550155,0.8985269980709653
ENSG00000169972,52.97552310001845,70.0,1.3213649607166527,PUSL1,3111,217,164.83,1.3165,9.8873e-06,2.0302,1.178,1.473,1.332,1.977,0.01702845486982271,1.0897089708970897,1.611961196119612,1.3401492747145396
ENSG00000127054,253.41812107019058,174.0,0.686612304065684,CPSF3L,13107,357,387.14,0.92215,2.5086e-05,0.7165699999999999,0.845,1.007,0.524,0.994,0.019334563292148516,0.607060706070607,0.7786778677867787,0.6905583517901993
ENSG00000224051,81.84051360654415,70.0,0.8553221004517577,GLTPD1,4142,158,154.74,1.0211,1.1517999999999999e-05,0.56516,0.896,1.165,0.256,1.427,0.019758694738422053,0.7054705470547055,1.0435043504350436,0.8675409876010682
ENSG00000169962,307.8327020195139,296.0,0.961561257326183,TAS1R3,3993,732,571.75,1.2803,4.0349e-05,1.1752,1.204,1.361,0.893,1.563,0.07709308840959526,0.8746874687468748,1.0587058705870587,0.9648097750874199
ENSG00000107404,217.4541172901379,208.0,0.9565236225096453,DVL1,14075,554,484.18,1.1442,3.573e-05,0.46871999999999997,1.066,1.227,0.309,0.733,0.015449670855427205,0.8544854485448545,1.0731073107310731,0.961122293771711
ENSG00000162576,96.40847245726364,84.0,0.8712927179427709,MXRA8,9089,208,255.34,0.8146100000000001,1.6700999999999998e-05,0.71077,0.727,0.914,0.462,1.13,0.010607159473788496,0.7304730473047305,1.0447044704470447,0.8816652502992324
ENSG00000175756,75.33124983973138,77.0,1.0221521634622937,AURKAIP1,1766,126,125.08,1.0073,8.5836e-06,0.99115,0.871,1.168,0.536,1.77,0.04265642686281505,0.8504850485048505,1.2355235523552355,1.035426866858057
ENSG00000221978,263.1003620635071,208.0,0.7905728383216479,CCNL2,13618,312,339.9,0.91791,2.2215e-05,0.24999000000000002,0.836,1.008,0.141,0.47,0.019320044210861146,0.7062706270627063,0.8868886888688869,0.7943736692751173
ENSG00000242485,65.74914791061849,60.0,0.9125593548613882,MRPL20,5406,105,83.70200000000001,1.2545,4.0077e-06,1.123,1.07,1.475,0.651,1.817,0.01216225451546772,0.7414741474147415,1.1315131513151315,0.9277686774398672
ENSG00000179403,117.42558055139452,108.0,0.9197314545337151,VWA1,8022,219,212.85,1.0289,1.4869000000000001e-05,0.5071899999999999,0.921,1.151,0.264,1.066,0.014637943225055412,0.7870787078707872,1.079107910791079,0.9282474865201383
ENSG00000215915,93.5951724023669,112.0,1.1966429157105507,ATAD3C,20470,302,264.65,1.1411,1.8159e-05,0.76263,1.038,1.255,0.509,1.174,0.004572309350384314,1.0267026702670268,1.3999399939994,1.207327225858515
ENSG00000160072,128.237860170838,147.0,1.1463073370388992,ATAD3B,26086,557,399.85,1.393,2.847e-05,1.0995,1.299,1.494,0.829,1.477,0.00491596489192816,1.0027002700270027,1.3145314531453145,1.1541053461343382
ENSG00000197785,75.56384577920741,77.0,1.0190058381224922,ATAD3A,22537,401,401.71,0.99824,2.9296999999999997e-05,0.5635,0.919,1.084,0.392,0.827,0.0033528795216402987,0.847884788478848,1.2317231723172317,1.0322396801554676
ENSG00000160075,67.99759766019501,21.0,0.3088344400774787,SSU72,33197,36,112.35,0.32044,6.0913e-06,0.10707,0.245,0.423,0.037,0.508,0.002048305499297979,0.21902190219021903,0.4446444644464447,0.32354084198593
ENSG00000197530,203.46951203819947,175.0,0.8600797153685875,MIB2,15196,644,690.05,0.9332600000000001,4.9439e-05,0.42233999999999994,0.874,0.996,0.294,0.62,0.013389675706646452,0.7606760676067607,0.9748974897489749,0.8649944565992652
ENSG00000248333,20.43013167983516,15.0,0.7342096583158698,CDK11B,19871,223,307.81,0.72447,1.9197e-05,0.41841999999999996,0.649,0.81,0.267,0.678,0.0010281380745727523,0.4912491249124913,1.1305130513051305,0.7831529126431879
ENSG00000008128,23.634492531659166,25.0,1.0577760434886296,CDK11A,21598,339,298.75,1.1347,1.8828e-05,0.93647,1.037,1.241,0.689,1.291,0.001094290792279802,0.770877087708771,1.4767476747674768,1.0998079638009224
ENSG00000008130,211.1590678161337,121.0,0.5730277238454211,NADK,29226,277,380.02,0.7289100000000001,2.4525e-05,0.68389,0.66,0.805,0.48,0.994,0.007225041668929504,0.49444944494449444,0.6664666466646665,0.5777634901581932
ENSG00000078369,184.7543444988867,56.0,0.3031051862509109,GNB1,105767,64,226.23,0.2829,1.4519000000000001e-05,0.0,0.23,0.348,0.0,0.145,0.0017468051896989297,0.24442444244424444,0.37863786378637865,0.3085177788625343
ENSG00000169885,50.95135769262599,40.0,0.7850624951214805,CALML6,2470,102,103.47,0.98575,5.7309000000000005e-06,1.1138,0.839,1.162,0.697,1.757,0.020628080037500402,0.6096609660966097,1.021902190219022,0.8046890574966354
ENSG00000178821,77.53775910282634,88.0,1.1349309164751487,TMEM52,1684,114,103.04,1.1064,5.9599e-06,0.6706,0.95,1.293,0.302,1.614,0.046043799942295925,0.9552955295529554,1.354935493549355,1.1478278558851889
ENSG00000142609,391.2648817464304,404.0,1.0325485849809106,C1orf222,81881,436,509.41,0.8559,3.1614e-05,0.56005,0.79,0.926,0.402,0.793,0.004778457538945914,0.9518951895189519,1.121112111211121,1.0351043983100714
ENSG00000187730,165.50080275120865,101.0,0.6102689432378744,GABRD,11413,189,293.49,0.64398,2.08e-05,0.051580999999999995,0.571,0.727,0.017,0.245,0.014501077959450508,0.5194519451945194,0.7200720072007201,0.6163112100026059
ENSG00000067606,242.0090237004168,136.0,0.5619625166058044,PRKCZ,134926,224,377.32,0.59365,2.4973000000000003e-05,0.21305,0.531,0.663,0.12,0.4,0.0017936426166966842,0.4890489048904891,0.6478647864786479,0.5660945939337881
ENSG00000162585,26.615808893022123,23.0,0.864148074268369,C1orf86,28257,102,107.78,0.94639,7.1054e-06,0.15828,0.805,1.116,0.055,0.751,0.0009419191312956834,0.6218621862186219,1.2243224322432245,0.9017167675276381
ENSG00000157933,179.7495887320275,125.0,0.695411883174605,SKI,81425,349,438.2,0.79643,2.8829e-05,0.040872000000000006,0.729,0.87,0.014,0.194,0.0022075479119684064,0.6014601460146015,0.8066806680668067,0.700975178240002
ENSG00000116151,146.45177846569476,151.0,1.0310561031211418,MORN1,70455,308,294.25,1.0467,1.9019000000000002e-05,0.76779,0.953,1.15,0.539,1.116,0.002078656993338936,0.9034903490349036,1.1801180118011803,1.037884289234527
ENSG00000157916,96.1337811793566,42.0,0.43689116858558474,RER1,13617,55,120.72,0.45561,7.1782e-06,0.22280999999999998,0.366,0.57,0.1,0.576,0.0070598355863521044,0.3412341234123413,0.5650565056505651,0.4472933392661939
ENSG00000157911,119.00003910913082,94.0,0.7899157067822125,PEX10,9001,229,216.81,1.0562,1.5247e-05,0.47658,0.947,1.178,0.279,0.86,0.013220757594615135,0.6684668466846685,0.9376937693769377,0.7983190653650019
ENSG00000149527,388.24566631843646,290.0,0.7469497412551772,PLCH2,79551,615,707.32,0.8694799999999999,4.7102e-05,0.72075,0.813,0.929,0.549,0.956,0.004880462424337048,0.6786678667866787,0.8232823282328233,0.7495254300181259
ENSG00000157881,331.866840300423,217.0,0.6538767169493656,PANK4,18068,362,516.55,0.7008,3.5516e-05,0.15425999999999998,0.642,0.764,0.083,0.304,0.018367657754063703,0.5854585458545855,0.7316731673167317,0.656889973709501
ENSG00000197921,11.111307478992671,10.0,0.8999840944826936,HES5,1501,49,38.615,1.2689,1.7443e-06,0.29515,1.008,1.609,0.103,1.344,0.007402603250494784,0.5548554855485549,1.5153515351535154,0.9863586436403293
ENSG00000157873,79.66152748490731,61.0,0.76573977333735,TNFRSF14,9744,151,173.75,0.86908,1.0637e-05,0.14078,0.76,0.995,0.057,0.443,0.008175444117909207,0.6230623062306231,0.9476947694769478,0.7782928843756671
ENSG00000157870,40.442319813602715,40.0,0.9890629465460599,FAM213B,4979,97,107.32,0.9038299999999999,5.6961e-06,0.85006,0.766,1.07,0.497,1.517,0.00812257879365389,0.7680768076807681,1.2875287528752877,1.0137891440189317
ENSG00000142606,298.57301415242245,265.0,0.8875550951993159,MMEL1,42404,480,487.83,0.9839399999999999,3.1823000000000003e-05,0.7682399999999999,0.912,1.061,0.597,0.997,0.0070411521118862,0.8030803080308031,0.9826982698269827,0.8909043597095022
ENSG00000169717,185.77187106954915,178.0,0.9581644356338559,ACTRT2,1420,256,238.48,1.0735,1.544e-05,0.7015600000000001,0.969,1.191,0.383,1.377,0.1308252613165839,0.8482848284828484,1.084908490849085,0.9635473819014617
ENSG00000142611,486.1052668332731,395.0,0.8125811978405886,PRDM16,369454,745,855.9,0.8704299999999999,5.8552e-05,0.081747,0.819,0.925,0.039,0.187,0.0013157396234261183,0.7484748474847485,0.8830883088308831,0.8146383654300586
ENSG00000130762,189.91190151107725,171.0,0.9004175022176051,ARHGEF16,26688,411,437.86,0.93866,3.0226999999999997e-05,0.72402,0.865,1.018,0.523,1.018,0.007116003503862307,0.7950795079507951,1.0221022102210222,0.9056831016457783
ENSG00000162591,313.1632579111388,281.0,0.8972955571937967,MEGF6,121576,923,963.0,0.95847,6.5115e-05,0.73856,0.907,1.012,0.604,0.908,0.002575864133637715,0.8140814081408141,0.9904990499049905,0.9004887798172624
ENSG00000158109,73.68523961503547,61.0,0.8278455809968345,TPRG1L,5126,98,122.4,0.80062,6.7005e-06,0.88071,0.679,0.947,0.542,1.486,0.014374802890174692,0.6736673667366737,1.0245024502450246,0.8414168200295689
ENSG00000116213,201.67577053852926,195.0,0.9668984999005923,WRAP73,21995,291,291.34,0.99882,1.9042e-05,0.5100899999999999,0.907,1.101,0.336,0.797,0.009169164380019516,0.8604860486048606,1.0887088708870887,0.9718569537462365
ENSG00000078900,227.4713950492702,166.0,0.729762087070528,TP73,83682,322,430.13,0.74862,2.8046e-05,0.09911299999999999,0.683,0.821,0.044,0.256,0.002718283442667123,0.6432643264326433,0.8300830083008301,0.7341582442215555
ENSG00000162592,232.23851790736973,222.0,0.9559137820908182,CCDC27,19248,368,364.72,1.009,2.0906999999999998e-05,1.1008,0.926,1.1,0.854,1.433,0.01206559216060732,0.8568856885688569,1.0683068306830683,0.9602197000281643
ENSG00000130764,144.99303219608558,116.0,0.8000384449035041,LRRC47,16285,263,314.23,0.8369700000000001,1.9471e-05,0.12930999999999998,0.756,0.927,0.052,0.407,0.008903471427453827,0.6882688268826883,0.9334933493349336,0.806935328049224
ENSG00000116198,356.43099696443977,338.0,0.9482901399670395,CEP104,45134,503,531.83,0.9458,3.1213e-05,0.54175,0.878,1.018,0.4,0.743,0.007897172795773469,0.8676867686768677,1.0377037703770378,0.9510957320971196
ENSG00000169598,123.43317564725699,127.0,1.0288968045587368,DFFB,28149,187,203.65,0.91824,1.2635e-05,0.63655,0.814,1.037,0.392,1.08,0.004384993273198231,0.890889088908891,1.1923192319231923,1.036998354200932
ENSG00000198912,117.70302383529894,106.0,0.9005715957503785,C1orf174,11169,144,144.78,0.9945799999999999,8.386699999999999e-06,0.75226,0.868,1.142,0.427,1.405,0.010538367251795052,0.7694769476947695,1.0583058305830584,0.9090675542008537
ENSG00000196581,86.046659243178,55.0,0.6391880926435914,AJAP1,137803,200,240.9,0.8302200000000001,1.6097000000000002e-05,0.0,0.739,0.933,0.0,0.192,0.0006244178954244682,0.5146514651465147,0.8000800080008001,0.6508096943280204
ENSG00000131697,471.2661767507828,467.0,0.9909474157891054,NPHP4,129663,910,889.65,1.0229,5.9275e-05,0.78155,0.968,1.08,0.626,0.983,0.0036345462988731,0.9186918691869187,1.0697069706970697,0.9930693588636005
ENSG00000069424,48.42017740450498,22.0,0.45435603872763036,KCNAB2,109728,145,263.62,0.55002,1.6942e-05,0.18315,0.48,0.631,0.095,0.385,0.0004412745826453137,0.32463246324632467,0.6488648864886489,0.47500858594252265
ENSG00000116254,764.908420620585,394.0,0.515094342510101,CHD5,78331,668,1182.5,0.56491,7.4939e-05,0.089818,0.529,0.602,0.053,0.157,0.009765079223048156,0.4744474447444745,0.5598559855985599,0.5164016885570811
ENSG00000116251,36.7705548071184,12.0,0.3263480810378451,RPL22,28121,32,71.84,0.44543,4.1974e-06,0.3299,0.335,0.598,0.134,1.036,0.001307583471680182,0.20922092209220922,0.5288528852885289,0.35354375445766545
ENSG00000158286,129.0366093175261,131.0,1.0152157646799482,RNF207,15825,353,377.85,0.9342299999999999,2.2561e-05,0.67282,0.856,1.02,0.483,0.953,0.008153972152766264,0.8810881088108811,1.1737173717371738,1.022965503341627
ENSG00000116237,99.78011344270519,44.0,0.44096963294459746,ICMT,14780,54,132.15,0.40862,7.1848e-06,0.1431,0.327,0.513,0.058,0.45,0.006751022560399539,0.34643464346434644,0.5670567056705671,0.4509916700569748
ENSG00000173673,17.200695348736048,13.0,0.7557833992423612,HES3,1387,68,82.78,0.82145,3.8621e-06,0.26882,0.675,1.005,0.094,1.246,0.012401366509542933,0.4920492049204921,1.2015201520152015,0.8138857923730151
ENSG00000158292,97.20648634739756,75.0,0.7715534509905462,GPR153,13630,240,270.98,0.8856799999999999,1.8366e-05,0.7811600000000001,0.796,0.986,0.491,1.292,0.007131803840601435,0.6404640464046405,0.9348934893489349,0.7818408303370868
ENSG00000097021,185.10770629912844,112.0,0.605053145756187,ACOT7,130123,176,267.26,0.6585300000000001,1.8032e-05,0.16806,0.582,0.746,0.076,0.434,0.0014225594729535011,0.5192519251925193,0.7078707870787079,0.610455405986153
ENSG00000069812,15.89730459773836,17.0,1.0693636707708623,HES2,12253,43,61.488,0.6993199999999999,2.9062000000000002e-06,0.83641,0.547,0.902,0.406,1.723,0.001297421414979055,0.7314731473147315,1.5947594759475947,1.129228068129583
ENSG00000187017,141.59516664282407,129.0,0.9110480467557515,ESPN,36583,440,435.38,1.0106,2.6592e-05,0.62985,0.934,1.094,0.434,0.934,0.0038705181817462776,0.7898789878987899,1.0545054505450546,0.9181104347150985
ENSG00000215788,107.77391034524645,83.0,0.7701307276883163,TNFRSF25,5045,205,278.66,0.7356600000000001,1.8306e-05,0.33129000000000003,0.656,0.826,0.193,0.598,0.0213625193944988,0.6450645064506451,0.9242924292429243,0.7794094111544405
ENSG00000171680,298.1931741339573,215.0,0.7210091264644963,PLEKHG5,53970,552,659.68,0.8367700000000001,4.4996999999999996e-05,0.3812,0.78,0.898,0.262,0.565,0.005525165353603063,0.6452645264526453,0.8072807280728073,0.7243626572852614
ENSG00000162408,236.0201158608437,182.0,0.7711207128942615,NOL9,33189,283,366.33,0.77254,1.9417e-05,0.31436,0.7,0.852,0.189,0.549,0.007111395819724719,0.6834683468346835,0.8718871887188719,0.7753576398881861
ENSG00000173662,304.9327243524266,263.0,0.8624853254386605,TAS1R1,24577,463,488.22,0.94834,2.7451999999999997e-05,0.82875,0.878,1.024,0.595,1.174,0.012407239465859405,0.7800780078007801,0.9552955295529554,0.8657647373224576
ENSG00000204859,250.49896197491165,191.0,0.7624782094671088,ZBTB48,9280,348,417.31,0.8339200000000001,2.4837e-05,0.39718000000000003,0.763,0.911,0.254,0.644,0.02699342262660686,0.6778677867786779,0.8596859685968598,0.7664702419774075
ENSG00000162413,144.02063480324554,115.0,0.7984966887356647,KLHL21,23884,266,343.72,0.7739,2.0596e-05,0.6957899999999999,0.699,0.857,0.445,1.127,0.006030004806700952,0.6864686468646864,0.9322932293229323,0.8054401382029315
ENSG00000116273,142.3951821138597,80.0,0.5618167610195667,PHF13,10349,124,192.76,0.6432899999999999,1.2979e-05,0.0,0.555,0.747,0.0,0.249,0.013759318012741299,0.46904690469046906,0.6766676667666767,0.5688394705323113
ENSG00000041988,58.201293069162105,39.0,0.6700882049760525,THAP3,10721,135,141.84,0.9517899999999999,9.0765e-06,0.59925,0.827,1.098,0.294,1.358,0.005428718689409766,0.5188518851885189,0.8752875287528753,0.6872699538215923
ENSG00000007923,267.9261274589128,193.0,0.7203478131471037,DNAJC11,67757,237,331.68,0.71455,1.9583e-05,0.10677,0.642,0.796,0.052,0.244,0.003954220633424042,0.6406640664066406,0.8116811681168117,0.724080185235949
ENSG00000171735,676.2065522336833,434.0,0.6418157271123549,CAMTA1,984383,725,1017.9,0.71229,6.5224e-05,0.09134400000000001,0.669,0.757,0.051,0.172,0.000686934406865705,0.5934593459345935,0.6948694869486949,0.6432945651932593
ENSG00000049245,40.926301282895125,39.0,0.9529324365380605,VAMP3,10164,58,60.593,0.9572,3.5786000000000003e-06,0.60522,0.774,1.191,0.315,1.269,0.0040265939869042824,0.7378737873787379,1.2447244724472448,0.9773664892025987
ENSG00000049246,430.35101476999193,431.0,1.0015080369459681,PER3,60858,701,692.96,1.0116,3.9908000000000005e-05,0.63671,0.95,1.077,0.487,0.841,0.00707139595073765,0.9256925692569257,1.0845084508450846,1.0038317214864463
ENSG00000049247,45.57012112641979,41.0,0.8997123331372887,UTS2,10430,69,75.97,0.90825,4.0381e-06,0.4957,0.747,1.11,0.225,1.271,0.0043691391300498365,0.7008700870087009,1.1673167316731674,0.9216565329015957
ENSG00000049249,98.98840385366827,93.0,0.9395039861182047,TNFRSF9,21020,134,146.38,0.91545,8.1041e-06,0.23448000000000002,0.795,1.057,0.106,0.606,0.004709248518252535,0.7944794479447945,1.1163116311631163,0.9496061795173252
ENSG00000116288,81.69931237338547,75.0,0.9180003823928407,PARK7,31215,104,108.83,0.9556,6.1335e-06,0.11152999999999999,0.814,1.125,0.039,0.529,0.0026173093824566865,0.7618761876187619,1.1125112511251125,0.9302403874914033
ENSG00000116285,202.64080138712106,166.0,0.8191834954446159,ERRFI1,21905,211,250.95,0.8407899999999999,1.3399000000000002e-05,0.4192,0.751,0.942,0.218,0.881,0.009250892553623422,0.7220722072207221,0.9316931693169317,0.8241183357786197
ENSG00000162426,327.0669258633225,242.0,0.7399097275312057,SLC45A1,26342,408,500.26,0.81558,3.5064e-05,0.45953,0.751,0.885,0.293,0.745,0.012416176670842096,0.6662666266626663,0.8230823082308231,0.7429672057441445
ENSG00000142599,474.04483303189096,313.0,0.6602751009817318,RERE,465246,737,909.45,0.81038,5.8878999999999996e-05,0.046333,0.762,0.861,0.02,0.12,0.0010189122164014112,0.6020602060206021,0.7250725072507251,0.6623846060966897
ENSG00000074800,206.87159403004856,168.0,0.8120979624471673,ENO1,18248,219,256.8,0.8528,1.4984000000000001e-05,0.52198,0.763,0.954,0.328,0.864,0.011336672184899636,0.7164716471647165,0.922892289228923,0.816931878890305
ENSG00000131686,119.39575701355992,121.0,1.0134363483809385,CA6,29226,174,176.97,0.9832,9.9408e-06,0.5083300000000001,0.868,1.115,0.297,0.917,0.004085258229438169,0.8744874487448745,1.1785178517851786,1.0218118553923514
ENSG00000197241,200.97910831412705,214.0,1.0647872895600747,SLC2A7,23046,326,324.83,1.0036,2.076e-05,1.2234,0.916,1.1,0.905,1.669,0.008720780539535148,0.9526952695269527,1.1925192519251926,1.0697629311000751
ENSG00000142583,191.0662765046968,157.0,0.8217043995000375,SLC2A5,53372,226,301.18,0.75039,1.8977e-05,0.79382,0.672,0.838,0.542,1.191,0.003579897258950326,0.7218721872187219,0.9380938093809381,0.826938185484114
ENSG00000180758,106.6041253776718,112.0,1.0506160019906543,GPR157,28866,204,201.46,1.0126,1.2148e-05,0.60123,0.903,1.137,0.328,1.186,0.003693068848391596,0.9014901490149015,1.229122912291229,1.0599965020084112
ENSG00000049239,378.80349930161873,375.0,0.9899591759087996,H6PD,36563,549,479.16,1.1457,3.4277e-05,0.6271399999999999,1.068,1.23,0.428,0.941,0.010360295908476294,0.90989098909891,1.0783078307830782,0.9925990670445565
ENSG00000171621,131.83801565931964,71.0,0.5385396590272558,SPSB1,76653,102,187.01,0.54542,1.254e-05,0.18868,0.464,0.643,0.076,0.594,0.001719932887940715,0.4446444644464447,0.656065606560656,0.546124724647358
ENSG00000171612,54.079574508169586,47.0,0.8690896780798432,SLC25A33,45697,144,175.1,0.8223799999999999,1.0017e-05,0.41778000000000004,0.717,0.944,0.228,0.825,0.001183438179927995,0.6878687868786879,1.1083108310831082,0.8875809477934805
ENSG00000188807,177.71454300049945,153.0,0.8609312294693294,TMEM201,26004,350,427.2,0.81929,2.9619000000000002e-05,0.1108,0.75,0.895,0.049,0.286,0.00683412332719964,0.7550755075507551,0.9844984498449846,0.8665582309691289
ENSG00000171608,472.20042780979117,213.0,0.4510796421510218,PIK3CD,77383,331,633.86,0.5222,4.5901000000000007e-05,0.093265,0.476,0.572,0.048,0.196,0.0061021209801867485,0.40344034403440343,0.5052505250525052,0.4531973869498529
ENSG00000171603,517.4478486543005,448.0,0.8657877333244115,CLSTN1,95501,525,595.24,0.8819899999999999,3.8354e-05,0.17051,0.82,0.948,0.099,0.308,0.005418245344596397,0.8014801480148015,0.9360936093609361,0.8677202952291536
ENSG00000178585,26.68192001394721,20.0,0.7495712448559014,CTNNBIP1,62061,43,53.941,0.7971699999999999,3.7033999999999996e-06,0.5444399999999999,0.624,1.028,0.247,1.383,0.00042993055242337714,0.5274527452745275,1.0891089108910892,0.7870496150007954
ENSG00000162441,66.12772653219369,47.0,0.7107457410790989,LZIC,21293,69,91.773,0.75185,4.0187e-06,0.57804,0.618,0.919,0.315,1.14,0.003105608722687911,0.5624562456245624,0.9062906290629064,0.7258679908892927
ENSG00000173614,103.96442904780929,94.0,0.9041554006589405,NMNAT1,42074,129,150.64,0.8563299999999999,7.644e-06,0.38315,0.741,0.991,0.188,0.877,0.002470989899886136,0.7652765276527653,1.0733073307330734,0.9137740751340356
ENSG00000162444,44.022804612176856,27.0,0.613318488857289,RBP7,18815,45,70.39399999999999,0.63926,3.2288e-06,0.15432,0.502,0.82,0.054,0.732,0.0023397717040753046,0.45204520452045205,0.845884588458846,0.6360339884445618
ENSG00000130939,548.96576435867,351.0,0.6393841342912454,UBE4B,148408,488,781.03,0.6248100000000001,4.7062e-05,0.074661,0.579,0.673,0.038,0.157,0.0036990308093813673,0.5860586058605861,0.6984698469846985,0.6412057415114485
ENSG00000054523,740.0557421999573,472.0,0.6377897948563843,KIF1B,170799,663,980.06,0.6764899999999999,5.9475e-05,0.10332000000000001,0.634,0.721,0.064,0.171,0.004332904420985821,0.5916591659165917,0.6882688268826883,0.6391410444217581
ENSG00000142657,183.87033134767324,156.0,0.8484239891047223,PGD,21553,220,286.51,0.76786,1.5883e-05,0.11300999999999999,0.687,0.859,0.05,0.292,0.008531078334694625,0.7448744874487448,0.9688968896889689,0.8538626044194962
ENSG00000175279,25.4119710858618,28.0,1.1018429033070196,APITD1,22052,116,86.92299999999999,1.3345,4.1780000000000005e-06,0.9907100000000001,1.147,1.557,0.578,1.706,0.0011523658210530474,0.8162816281628164,1.5097509750975098,1.1408679062749607
ENSG00000241563,27.75069592688778,38.0,1.3693350285742427,CORT,2184,92,58.547,1.5714,3.1143e-06,2.0858,1.326,1.854,0.529,1.941,0.012706362603886346,1.0561056105610562,1.7757775777577758,1.3995438692544044
ENSG00000160049,142.59383914747625,127.0,0.8906415645955891,DFFA,16005,176,188.44,0.93399,1.0143e-05,0.6433300000000001,0.825,1.058,0.377,1.161,0.00890933078084825,0.7712771277127713,1.0321032103210321,0.8976544903010663
ENSG00000142655,153.99428240997528,109.0,0.7078184871163717,PEX14,158471,168,221.31,0.75912,1.4748e-05,0.24628000000000003,0.669,0.863,0.128,0.518,0.0009717505563161417,0.6060606060606061,0.8298829882988299,0.7143122347045953
ENSG00000130940,693.8532095939723,528.0,0.7609678714449906,CASZ1,160047,866,1110.3,0.77994,7.8181e-05,0.066338,0.737,0.825,0.032,0.152,0.004335309062925093,0.7086708670867087,0.8176817681768177,0.7624090984742428
